X,Y
"Конденсатор кондиционера многоходовой с ресивером-осушителем.","конденсатор; кондиционер; многоходовой конденсатор; ресивер-осушитель;"
"Система автоматического управления температурой реактора включает рубашку обогрева и терморегулятор.","система автоматического управления температурой реактора; рубашка обогрева; терморегулятор;"
"Модуль порошкового пожаротушения с пиропатроном и распылителем тушит возгорание твердых и жидких веществ.","модуль; порошковое пожаротушение; пиропатрон; распылитель; возгорание; твердое вещество; жидкое вещество;"
"Способ производства масла из пассифлоры включает экстракцию.","способ производства масла из пассифлоры; экстракция;"
"Реле максимального тока на интегральных микросхемах с выдержкой времени защищает электродвигатели от перегрузок и коротких замыканий, отключая питание при превышении порогов.","реле максимального тока; интегральная микросхема; выдержка времени; защита; электродвигатель; перегрузка; короткое замыкание; питание;"
"Установка для измерения сопротивления заземления и удельного сопротивления грунта включает генератор, измеритель тока и измеритель напряжения.","установка для измерения сопротивления заземления; генератор; измеритель тока; измеритель напряжения;"
"Манжета резиновая армированная для вала.","манжета; резина; армированная манжета; вал;"
"Термостат поддерживает постоянную температуру в своем внутреннем объеме.","термостат; температура; объем;"
"Спектроэлектрохимическая ячейка для одновременного проведения электрохимических и спектральных измерений включает прозрачное окно и электроды.","спектроэлектрохимическая ячейка; электрохимическое измерение; спектральное измерение; прозрачное окно; электрод;"
"Рукавный фильтр для очистки воздуха имеет корпус с бункером и фильтровальные рукава, регенерация рукавов импульсная сжатым воздухом.","рукавный фильтр; очистка воздуха; корпус; бункер; фильтровальный рукав; сжатый воздух;"
"Циклонный пылеуловитель для аспирационных систем включает цилиндрическую часть с тангенциальным входом, коническое днище с пылевым бункером и центральную выхлопную трубу.","циклонный пылеуловитель; аспирационная система; цилиндрическая часть; тангенциальный вход; коническое днище; пылевой бункер; центральная выхлопная труба;"
"Способ извлечения редкоземельных элементов из пластовых вод включает сорбцию на фосфорсодержащих ионитах.","фосфорсодержащие иониты;"
"Шейкер для перемешивания жидкостей в пробирках и колбах с регулируемой скоростью.","шейкер; перемешивание; жидкость; пробирка; колба; скорость;"
"Алкилирования реактор сернокислотного процесса включает контактор с мешалкой, зону отстоя и холодильные элементы.","алкилирования реактор; сернокислотный процесс; контактор; мешалка; зона отстоя; холодильный элемент;"
"Кран шаровый подземной установки для магистральных газопроводов с удлиненным штоком и редуктором.","кран шаровый подземной установки для магистральных газопроводов; удлиненный шток; редуктор;"
"Кнопка дистанционного пуска системы пожаротушения содержит корпус, кнопочный элемент и контактную группу.","кнопка; дистанционный пуск; пожаротушение; корпус; кнопочный элемент; контактная группа;"
"Для уменьшения износа при перекачке гидросмесей в шламовом насосе предусмотрена возможность регулировки зазора между быстроизнашивающимся бронедиском и рабочим колесом.","износ; гидросмесь; шламовый насос; зазор; бронедиск; рабочее колесо;"
"Установка для переработки люпина в крупу включает шелушильную машину.","установка для переработки люпина в крупу; шелушильная машина;"
"Устройство для крепления трубопровода к стене включает опорный кронштейн с хомутом.","устройство для крепления трубопровода к стене; опорный кронштейн с хомутом;"
"GPS-приемник геодезический включает антенну и контроллер.","GPS-приемник геодезический; антенна; контроллер;"
"Электродный датчик уровня для проводящих жидкостей сигнализирует о достижении предельных уровней.","электродный датчик уровня для проводящих жидкостей;"
"Устройство для измерения содержания пропана в воздухе включает полупроводниковый датчик.","устройство для измерения содержания пропана в воздухе; полупроводниковый датчик;"
"Способ производства масла из рябины включает экстракцию.","способ производства масла из рябины; экстракция;"
"Способ производства пюре из тыквы включает варку тыквы и протирку через сито.","способ производства пюре из тыквы; варка тыквы; протирка через сито;"
"Для обеспечения компактности и высокой теплопередачи в системах ГВС и отопления используются паяные пластинчатые теплообменники из нержавеющей стали.","компактность; теплопередача; ГВС; отопление; паяный теплообменник; пластинчатый теплообменник; нержавеющая сталь;"
"Устройство для предотвращения коррозии нефтепромыслового оборудования с использованием ингибитора коррозии, дозируемого в затрубное пространство скважины через капиллярный канал с обратным клапаном, фильтром, регулятором расхода и манометром, с системой телеметрии и автоматическим регулированием подачи, с резервированием и контролем, с архивацией.","ингибитор коррозии; затрубное пространство скважины; капиллярный канал; обратный клапан; фильтр; регулятор расхода; манометр; система телеметрии; автоматическое регулирование подачи; резервирование; контроль; архивация;"
"Установка для переработки макулатуры в целлюлозу включает гидроразбиватель, вихревой очиститель и диспергатор.","установка для переработки макулатуры в целлюлозу; гидроразбиватель; вихревой очиститель; диспергатор;"
"Факельная горелка для сжигания газов включает ствол с соплами, стабилизатор пламени и подовое устройство.","факельная горелка; сжигание газов; ствол; сопло; стабилизатор пламени; подовое устройство;"
"Сепаратор масла системы вентиляции картера, лабиринт.","сепаратор масла; система вентиляции картера; лабиринт;"
"Устройство для предотвращения обратного тока газа в газопроводе низкого давления с использованием подпружиненного лепесткового клапана с демпфером и уплотнением из фторопласта, с визуальным индикатором положения и контактным сигнализатором, с антикоррозионным покрытием и защитой от замерзания, с обогревом и контролем температуры, с диагностикой и сигнализацией, с управлением и архивацией.","подпружиненный лепестковый клапан; демпфер; уплотнение из фторопласта; визуальный индикатор положения; контактный сигнализатор; антикоррозионное покрытие; защита от замерзания; обогрев; контроль температуры; диагностика; сигнализация; управление; архивация;"
"Устройство для предотвращения обратного тока в газопроводе высокого давления включает обратный клапан с пневмоприводом.","обратный клапан с пневмоприводом;"
"Битумная мастика для холодного нанесения защищает металлические трубопроводы от коррозии.","битумная мастика; холодное нанесение; металлический трубопровод; коррозия;"
"Рольганг для транспортировки проката, ролики и привод.","рольганг; транспортировка; прокат; ролик; привод;"
"Система автоматического управления освещением сцены включает диммеры и контроллер управления светом.","система автоматического управления освещением сцены; диммер; контроллер управления светом;"
